7,19,25,11,16
5,6,51,49,15
5,7,1,89,31
57,6,25,22,16
65,25,6,16,34
5,51,1,38,87
0,25,65,47,39
40,7,90,51,19
5,68,10,33,11
0,7,48,25,51
40,48,17,60,23
0,21,65,25,54
7,5,11,27,71
23,0,33,39,34
5,25,11,10,68
0,7,13,33,39
21,5,4,11,71
57,23,40,16,44
21,7,1,60,34
5,25,0,40,63
25,48,33,11,83
0,40,10,34,30
57,68,13,12,59
23,7,1,31,65
57,0,27,22,10
5,23,17,40,33
0,23,25,39,19
7,12,89,65,71
21,7,25,65,17
0,48,6,10,60
21,48,7,16,39
0,33,10,60,24
5,6,23,33,83
25,65,13,0,34
7,6,11,17,1
25,48,13,73,59
21,7,68,22,89
57,0,40,27,53
0,21,25,22,54
33,6,65,17,56
5,1,9,30,33
40,48,27,17,62
5,12,25,40,10
19,7,27,21,82
19,6,60,14,21
23,7,11,13,47
21,7,60,24,11
0,10,25,62,17
7,21,11,16,27
25,0,51,49,17
51,76,33,58,45
0,19,25,8,10
5,25,13,77,65
0,68,43,22,84
7,5,0,28,42
21,10,25,11,3
5,25,6,23,30
0,40,10,53,17
0,47,10,50,28
7,40,48,60,91
0,10,60,40,21
33,25,6,54,81
33,19,11,12,59
5,23,68,17,62
7,40,51,49,77
5,25,6,76,16
25,19,6,10,22
5,1,37,23,30
19,1,33,74,49
5,68,17,51,38
7,0,2,65,34
21,5,73,39,60
5,6,68,10,51
25,65,48,13,1
5,0,68,17,6
65,33,19,1,74
5,33,25,48,63
0,10,40,68,17
57,13,6,34,78
23,1,10,48,41
0,48,14,71,74
21,7,25,1,30
7,25,13,81,62
10,6,0,20,34
7,25,51,49,6
13,5,60,39,1
12,25,15,34,17
7,33,66,40,48
5,0,15,56,7
19,6,48,1,73
5,1,13,10,17
19,6,16,58,34
57,6,20,17,46
23,7,11,53,71
57,1,16,8,13
10,6,20,53,35
23,5,27,12,45
7,6,43,40,92
5,0,16,12,30
19,23,11,68,86
0,40,16,8,91
48,25,65,74,6
5,48,10,1,33
0,16,50,30,60
7,0,25,65,27
5,48,74,71,55
5,6,15,11,34
7,0,21,25,22
23,5,47,54,6
19,0,20,68,86
22,25,31,10,18
57,6,5,68,82
0,7,33,53,34
5,25,6,10,8
25,39,6,53,55
0,37,51,49,65
7,25,40,30,23
5,48,63,13,33
5,47,62,12,60
7,65,23,76,10
21,5,47,60,11
7,0,31,4,16
0,2,13,65,53
7,5,68,48,40
21,25,0,10,6
5,39,33,80,69
19,6,12,48,15
0,5,60,1,10
40,7,27,65,93
5,0,25,10,34
73,22,10,1,13
57,19,6,5,68
23,40,25,17,92
7,0,8,33,11
6,10,51,76,65
7,1,34,25,69
51,76,19,6,58
33,0,86,4,40
5,6,17,16,12
23,1,27,47,30
7,1,16,51,3
5,25,27,62,54
6,7,20,19,16
5,21,1,47,10
6,7,1,15,94
57,9,35,22,47
40,12,7,15,39
19,25,34,20,1
40,12,20,8,9
5,7,21,15,30
0,10,34,13,31
33,7,8,6,27
23,5,40,16,92
0,33,20,47,18
7,1,2,22,9
0,5,13,17,58
6,25,21,30,47
7,1,15,34,27
51,49,15,50,6
33,12,5,48,54
7,33,13,72,58
57,43,15,62,63
57,40,9,12,73
7,0,13,61,8
0,5,13,17,16
19,40,48,47,27
13,10,25,1,21
33,19,50,56,45
19,0,16,5,21
51,49,38,2,17
19,33,38,16,48
51,49,10,53,1
51,19,37,22,6
57,0,23,15,4
51,49,13,10,22
33,17,5,40,76
0,19,6,15,41
13,10,1,69,21
1,10,25,23,3
7,0,8,60,12
5,13,37,17,76
7,6,51,24,27
51,33,0,53,10
7,19,21,15,95
33,38,53,6,44
19,20,11,8,13
41,25,17,51,63
57,8,0,9,10
7,14,76,12,17
25,6,51,49,78
19,6,15,5,1
7,40,27,72,4
48,66,56,54,15
6,17,7,25,47
40,48,10,13,54
5,33,17,11,21
51,49,33,1,4
19,6,68,82,41
51,49,27,55,48
6,17,25,45,37
33,17,40,12,63
0,10,53,25,28
0,23,63,76,44
21,13,5,40,30
11,51,47,68,3
19,0,13,8,38
10,13,5,38,69
0,6,4,76,16
23,6,25,10,95
19,1,27,51,41
7,72,15,66,30
57,17,14,46,67
7,11,23,53,27
12,37,17,75,51
6,33,22,54,62
1,37,13,26,41
6,1,27,30,95
40,5,17,13,65
17,6,5,13,91
48,7,16,21,65
6,53,15,59,28
1,5,9,10,96
1,7,33,87,22
57,6,20,47,67
7,19,9,27,48
6,10,45,11,4
5,13,10,62,34
1,7,27,30,15
0,13,34,33,39
7,1,8,74,20
5,13,19,48,34
1,7,21,10,44
0,11,10,97,45
57,31,12,27,75
17,33,43,6,5
10,9,30,0,53
5,21,4,6,51
0,40,17,8,31
1,10,6,33,26
57,0,9,65,63
19,40,48,38,63
7,33,17,28,5
0,21,5,47,2
33,40,17,12,53
0,7,66,71,94
51,49,6,10,34
0,5,6,17,28
19,25,16,86,54
33,12,40,30,95
19,6,25,76,63
5,1,7,68,31
0,13,79,85,39
5,25,13,11,7
0,33,37,8,10
57,5,21,79,53
0,13,56,22,63
0,13,30,48,10
1,7,27,56,45
48,13,17,10,21
0,31,7,40,30
5,0,17,13,16
19,33,11,74,59
19,13,8,1,20
0,25,34,17,35
0,5,27,30,76
19,23,16,59,62
19,6,15,22,98
7,13,17,48,28
19,15,6,8,20
7,13,34,58,5
7,40,12,48,37
33,6,53,4,11
7,40,12,48,37
33,6,53,4,11
1,17,37,27,39
5,13,11,7,34
25,0,10,41,59
33,17,11,60,45
1,5,37,63,35
13,19,0,79,85
17,23,1,59,20
5,0,27,4,55
1,10,6,20,99
19,13,0,34,73
1,19,17,33,60
0,5,13,10,71
5,1,6,10,68
23,7,13,51,34
51,49,7,40,54
19,6,27,48,61
19,15,33,5,11
17,25,38,40,3
33,51,38,53,34
0,15,5,69,54
57,33,48,6,12
61,0,63,47,13
0,13,5,10,4
57,6,1,53,20
1,23,5,83,15
0,25,17,13,4
1,25,17,35,30
0,5,83,14,33
